run_id,split_id,model,best_epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
29,1,capsule,0,3804.400374200242,0.8864541832669323,0.8696720080657272,285.68839826241907,0.2450199203187251,0.5
30,1,dsp-fwa,0,1.380507785316735,0.7191235059760956,0.5776004461891584,3.9699142807779597,0.2450199203187251,0.5
31,1,ictu_oculi,1,0.9350968827110769,0.8784860557768924,0.8795503786172426,4.308002653594344,0.2450199203187251,0.5
32,1,mantranet,1,1.2820918580666683,0.9083665338645418,0.8829718772121757,12.169149132838193,0.2450199203187251,0.5
33,1,xceptionnet,1,0.5235434311972671,0.7649402390438247,0.5230709826887188,0.6494130371101349,0.7191235059760956,0.5311688868867581
34,1,capsule,1,268.53768804900056,0.8924302788844621,0.8669262286290409,308.11605907911326,0.2450199203187251,0.5
35,1,dsp-fwa,1,1.380507785316735,0.7191235059760956,0.5776004461891584,3.9699142807779597,0.2450199203187251,0.5
36,1,ictu_oculi,1,1.1134858084590873,0.8904382470119522,0.8821889010446832,4.53128900943209,0.2450199203187251,0.5
37,1,mantranet,1,0.922731768366322,0.9103585657370518,0.89637900336787,10.815814540205562,0.2450199203187251,0.5
38,1,xceptionnet,1,0.5134199205266528,0.7549800796812749,0.5,0.6524189890499609,0.7290836653386454,0.49932428084175307
